Origin,Destination,Flow,Percent
Region 10,Region 4,407,0.611
Region 10,Region 5,223,0.335
Region 10,Region 6,520,0.78
Region 10,Region 7,671,1.007
Region 10,Region 8,129,0.194
Region 10,Region 9,13,0.02
Region 10,Region 10,2129,3.195
Region 10,Region 11,46,0.069
Region 10,Region 12,10,0.015
Region 10,Region 13,0,0
Region 10,Region 14,5,0.008
Region 10,Region 15,41,0.062
Region 10,Region 16,28,0.042
Region 11,Region 0,140,0.21
Region 11,Region 1,538,0.807
Region 11,Region 2,246,0.369
Region 11,Region 3,123,0.185
Region 11,Region 4,81,0.122
Region 11,Region 5,70,0.105
Region 11,Region 6,45,0.068
Region 11,Region 7,127,0.191
Region 11,Region 8,7,0.011
Region 11,Region 9,38,0.057
Region 11,Region 10,43,0.065
Region 11,Region 11,774,1.161
Region 11,Region 12,14,0.021
Region 11,Region 13,0,0
Region 11,Region 14,84,0.126
Region 11,Region 15,320,0.48
Region 11,Region 16,75,0.113
Region 12,Region 0,57,0.086
Region 12,Region 1,67,0.101
Region 12,Region 2,54,0.081
Region 12,Region 3,121,0.182
Region 12,Region 4,22,0.033
Region 12,Region 5,42,0.063
Region 12,Region 6,3,0.005
Region 12,Region 7,25,0.038
Region 12,Region 8,8,0.012
Region 12,Region 9,115,0.173
Region 12,Region 10,29,0.044
Region 12,Region 11,44,0.066
Region 12,Region 12,365,0.548
Region 12,Region 13,0,0
Region 12,Region 14,105,0.158
Region 12,Region 15,191,0.287
Region 12,Region 16,71,0.107
Region 13,Region 0,0,0
Region 13,Region 1,0,0
Region 13,Region 2,0,0
Region 13,Region 3,0,0
Region 13,Region 4,0,0
Region 13,Region 5,0,0
Region 13,Region 6,0,0
Region 13,Region 7,0,0
Region 13,Region 8,0,0
Region 13,Region 9,0,0
Region 13,Region 10,2,0.003
Region 13,Region 11,0,0
Region 13,Region 12,0,0
Region 13,Region 13,9,0.014
Region 13,Region 14,0,0
Region 13,Region 15,0,0
Region 13,Region 16,0,0
Region 14,Region 0,92,0.138
Region 14,Region 1,115,0.173
Region 14,Region 2,42,0.063
Region 14,Region 3,133,0.2
Region 14,Region 4,19,0.029
Region 14,Region 5,51,0.077
Region 14,Region 6,9,0.014
Region 14,Region 7,32,0.048
Region 14,Region 8,9,0.014
Region 14,Region 9,38,0.057
Region 14,Region 10,26,0.039
Region 14,Region 11,111,0.167
Region 14,Region 12,44,0.066
Region 14,Region 13,0,0
Region 14,Region 14,184,0.276
Region 14,Region 15,48,0.072
Region 14,Region 16,93,0.14
Region 15,Region 0,120,0.18
Region 15,Region 1,471,0.707
Region 15,Region 2,500,0.75
Region 15,Region 3,129,0.194
Region 15,Region 4,304,0.456
Region 15,Region 5,48,0.072
Region 15,Region 6,154,0.231
Region 15,Region 7,252,0.378
Region 15,Region 8,12,0.018
Region 15,Region 9,89,0.134
Region 15,Region 10,108,0.162
Region 15,Region 11,476,0.714
Region 15,Region 12,189,0.284
Region 15,Region 13,0,0
Region 15,Region 14,108,0.162
Region 15,Region 15,1545,2.318
Region 15,Region 16,50,0.075
Region 16,Region 0,95,0.143
Region 16,Region 1,389,0.584
Region 16,Region 2,49,0.074
Region 16,Region 3,132,0.198
Region 16,Region 4,42,0.063
Region 16,Region 5,200,0.3
Region 16,Region 6,7,0.011
Region 16,Region 7,80,0.12
Region 16,Region 8,90,0.135
Region 16,Region 9,41,0.062
Region 16,Region 10,69,0.104
Region 16,Region 11,70,0.105
Region 16,Region 12,27,0.041
Region 16,Region 13,0,0
Region 16,Region 14,73,0.11
Region 16,Region 15,25,0.038
Region 16,Region 16,979,1.469
